occurrence_id,classification,latitude,longitude,city,state,country,date,time,aircraft_type,aircraft_manufacturer,aircraft_model,aircraft_damage_level,total_aircraft_fatalities,type_category
82047,INCIDENTE,-20.46944444444,-54.67027777777,CAMPO GRANDE,MS,BRASIL,19/04/2023,13:25:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82045,INCIDENTE,-25.53166666666,-49.17611111111,SÃO JOSÉ DOS PINHAIS,PR,BRASIL,09/04/2023,20:50:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82039,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,17/04/2023,13:20:00,AVIÃO,UNIVAIR AIRCRAFT,108-1,NENHUM,0,COLISÃO COM AVE
82038,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,18/04/2023,09:55:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82037,INCIDENTE,-12.90861111111,-38.3225,SALVADOR,BA,BRASIL,18/04/2023,11:25:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82036,INCIDENTE,-29.19805555555,-51.18666666666,CAXIAS DO SUL,RS,BRASIL,18/04/2023,18:05:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82035,INCIDENTE,-23.47638888888,-52.01777777777,MARINGÁ,PR,BRASIL,17/04/2023,14:30:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
82034,INCIDENTE,-8.126388888888,-34.92277777777,RECIFE,PE,BRASIL,16/04/2023,14:40:00,AVIÃO,BOEING,737-8 MAX,LEVE,0,COLISÃO COM AVE
82033,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,16/04/2023,21:45:00,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,NENHUM,0,COLISÃO COM AVE
82032,INCIDENTE,-23.62611111111,-46.65638888888,SÃO PAULO,SP,BRASIL,12/04/2023,01:00:00,AVIÃO,BOEING COMPANY,737-8EH,NENHUM,0,COLISÃO COM AVE
